Close_CW8.PA,High_CW8.PA,Low_CW8.PA,Open_CW8.PA,Volume_CW8.PA,dat
245.8777008,245.8777008,245.8777008,245.8777008,0,4/17/2018
246.3650055,246.3650055,245.6065063,246.0437012,309,4/18/2018
245.5256958,246.0843048,245.1159058,246.0843048,362,4/19/2018
245.3592987,246.4226074,245.0960999,245.4282074,814,4/20/2018
246.8683929,246.9620972,245,245.2200012,296,4/23/2018
246.3675995,247.8003998,245.9234924,246.7991028,916,4/24/2018
244.1616058,244.5876007,242.8999939,243.9147034,806,4/25/2018
247.3883057,247.8999939,244.4714966,244.4714966,5469,4/26/2018
248.4353027,249.2272949,247.6999969,248.7200012,587,4/27/2018
249.3381958,249.9900055,248.8000031,248.8390961,784,4/30/2018
249.862793,250.0500031,249.0265045,249.5299988,7064,5/2/2018
246.8016052,248.857605,246.4700928,248.7913055,344,5/3/2018
250.9582062,251.0019073,247.820694,248.7463989,1047,5/4/2018
253.0140076,253.3694,251.7855072,251.7855072,815,5/7/2018
253.3594971,253.6273956,252.3943024,252.5995026,1556,5/8/2018
254.3934937,254.8166046,253.8542023,254.1661987,720,5/9/2018
256.3710022,256.5331116,254.9476013,255.8984985,817,5/10/2018
256.6422119,257.0028992,256.0249939,257.0028992,5314,5/11/2018
256.8779907,257.2999878,256.0761108,257.1499939,533,5/14/2018
256.7597046,257.6758118,256.5145874,256.5617981,605,5/15/2018
258.6482849,258.8099976,257.1870117,257.3934937,26867,5/16/2018
259.7767944,260,258.1936951,258.6306152,50634,5/17/2018
259.1939087,259.7999878,258.6950073,258.8734131,590,5/18/2018
260.5006104,261.2999878,260.1962891,260.5602112,2229,5/21/2018
260.7073975,261.2640991,259.887085,260.7944031,1125,5/22/2018
259.6525879,260.1270142,258.9119873,260.1270142,603,5/23/2018
258.8941956,260.7879944,258.3976135,260.2269897,294,5/24/2018
260.3273926,260.8418884,259.9468994,260.4042969,687,5/25/2018
260.8432007,261,260.5418091,260.6322021,614,5/28/2018
259.7481995,260.2893982,259.1492004,260.2893982,2709,5/29/2018
259.3630066,259.9595032,258.5007935,259.1740112,1771,5/30/2018
258.3900146,259.9242859,257.8440857,259.7330017,661,5/31/2018
260.3106079,260.7535095,258.6499939,258.7020874,1959,6/1/2018
261.1534119,261.4500122,260.2755127,261.4500122,51233,6/4/2018
261.170105,262.3341064,260.7710876,260.8334961,2856,6/5/2018
260.8476868,261.0617065,259.5075989,261.0599976,5537,6/6/2018
260.6599121,261.6250916,260.3555908,261.3959961,2112,6/7/2018
261.0870972,261.2124939,259.7000122,260.4100037,1588,6/8/2018
261.9747009,261.9747009,261.1264954,261.1264954,3363,6/11/2018
262.0539856,262.9039917,261.7145996,262.9039917,1224,6/12/2018
262.6769104,263.1575928,262.5714111,262.7999878,2151,6/13/2018
265.2550964,265.9378967,260.0361938,260.4500122,1776,6/14/2018
263.7544861,266.792511,263.7544861,266.5387878,1744,6/15/2018
263.6105042,264.6932068,262.6741943,264.4899902,1680,6/18/2018
262.3432922,262.774292,260.668396,261.2643127,2322,6/19/2018
263.4407959,264.5618896,263.2543945,264.2204895,2040,6/20/2018
261.750885,264.645813,261,264.645813,1146,6/21/2018
262.4122925,262.4194946,261.3804016,261.3804016,522,6/22/2018
256.5166931,262.4200134,256.5166931,262.4200134,2771,6/25/2018
257.7062988,258.2666931,257.3023071,257.6911926,2934,6/26/2018
260.2102966,261.1496887,256.8100891,257.9065857,8225,6/27/2018
258.4436035,259.6965942,257,259.4898987,2153,6/28/2018
259.262207,260.0541992,258.7999878,259.4700928,6171,6/29/2018
257.5198975,257.9281921,256.3764038,256.5649109,2718,7/2/2018
258.9281921,259.4667969,258,258.3995972,662,7/3/2018
258.2030029,258.6463013,257.5499878,257.6491089,837,7/4/2018
257.9538879,258.6889038,257.1270142,257.1487122,2240,7/5/2018
259.2521057,259.2521057,257.5299988,258.605011,1723,7/6/2018
261.3066101,261.5422058,260.0512085,260.6900024,1603,7/9/2018
262.6340942,263.1637878,261.8045959,262.0942078,844,7/10/2018
260.6913147,261.3783875,260.0003967,260.769989,871,7/11/2018
262.6404114,263.0918884,261.4031067,261.730011,697,7/12/2018
263.9359131,264.8774109,263.8705139,264.5115967,1771,7/13/2018
262.7915039,263.8493958,262.638092,263.7002869,2500,7/16/2018
263.6655884,263.759613,261.9630127,261.9630127,1258,7/17/2018
265.4822998,265.6711121,264.6917114,265.005188,1110,7/18/2018
265.5609131,265.9114075,265,265.5999146,1342,7/19/2018
263.9614868,264.7715149,263,264.6099854,1740,7/20/2018
263.5119934,263.8880005,262.5282898,263.0058899,1485,7/23/2018
265.5704041,266,264.5754089,265.0140076,842,7/24/2018
265.8530884,265.8530884,265,265.4100037,1930,7/25/2018
267.8269043,268,266,266.3662109,2945,7/26/2018
267.9135132,269.0421143,267.8299866,268.0718994,1539,7/27/2018
265.0783997,266.3431091,265.0783997,266.2094116,962,7/30/2018
265.4500122,265.675293,264.1655884,264.5802917,9715,7/31/2018
265.6931152,266.4584961,265.4053955,266.4584961,1026,8/1/2018
265.9407043,265.9407043,264.4751892,265.2200012,5788,8/2/2018
267.8330078,268.1683044,267.0429993,267.0645142,2388,8/3/2018
268.9742126,269.6730042,268.5065918,268.9082031,3660,8/6/2018
269.9165039,270.184906,269.6091003,269.9129944,1555,8/7/2018
269.5242004,269.9519043,269,269.2000122,391,8/8/2018
270.3027039,270.4841919,269.2125854,269.4527893,2197,8/9/2018
270.8608093,270.8608093,269.8168945,270.4034119,490,8/10/2018
270.0913086,270.7999878,269.7000122,270.7999878,974,8/13/2018
271.4403076,271.6821899,270.3016052,270.530304,430,8/14/2018
269.1672058,271.9500122,268.5,271.8135986,487,8/15/2018
270.5701904,270.5701904,269.4974976,269.8664856,342,8/16/2018
270.0898132,270.949585,269.2999878,270.949585,951,8/17/2018
270.9042053,271.7203979,270.8344116,271.1199951,2244,8/20/2018
270.1676025,270.5945129,269.6499939,269.7067871,1377,8/21/2018
269.0469055,269.1116028,267.9208984,268.6878967,1734,8/22/2018
268.4075012,269.5389099,268.3999939,269,1104,8/23/2018
268.8121948,269.1712036,268.1976013,268.8887024,698,8/24/2018
270.0488892,270.5100098,269.6903992,270.3399963,1671,8/27/2018
269.3962097,270.2927856,269.3800964,270.2927856,1486,8/28/2018
270.8882141,270.8882141,270,270.6282043,1357,8/29/2018
270.8161926,271.1462097,269.9963074,270.3276062,1821,8/30/2018
270.7780151,270.7780151,269.4581909,270.0555115,1474,8/31/2018
270.8886108,271.3218079,270.4047852,271,942,9/3/2018
270.2164001,271.8999939,270,271.8999939,564,9/4/2018
267.2106018,269.4635925,267.1000977,269.4335938,1708,9/5/2018
266.4808044,268,266,267.1499939,8273,9/6/2018
267.5567932,267.5567932,265.7969055,266.4678955,2361,9/7/2018
267.2763062,268.2020874,266.8500061,268,8823,9/10/2018
267.5842896,267.7236938,266,267.3304138,5667,9/11/2018
267.8754883,269.0461121,267.1099854,268.4266052,1216,9/12/2018
267.6664124,268.8999939,267.5743103,268.1600037,570,9/13/2018
269.0639038,269.0884094,268.2366028,268.5299988,1963,9/14/2018
268.2961121,269.3815918,268,269.1933899,1573,9/17/2018
269.3215027,269.3215027,267.7000122,268.0472107,2362,9/18/2018
270.078186,270.4143982,269.0209045,269.8630066,3167,9/19/2018
270.2076111,270.2076111,269.5,270.0328979,2590,9/20/2018
271.3182983,271.3893127,270.5076904,270.618103,2148,9/21/2018
269.2536011,270.4899902,268.9010925,270.4899902,1075,9/24/2018
270.1242981,270.7398987,269.5,270.2864075,877,9/25/2018
270.7453918,270.8800049,270.101593,270.3999939,2642,9/26/2018
272.2987061,272.5289917,269.8778076,270.5495911,2750,9/27/2018
272.3234863,272.9960022,272,272.4833984,1546,9/28/2018
274.5632935,274.5632935,273.4482117,273.4500122,1635,10/1/2018
273.6575012,274.0931091,273.4078064,273.730011,1394,10/2/2018
274.9713135,275.1252136,273.5,273.7232056,1702,10/3/2018
272.1028137,274.3109131,271.6856079,274.2218018,5525,10/4/2018
270.5775146,272.3670959,270.5775146,272.3670959,2116,10/5/2018
269.4136047,270.7225952,269.4136047,270.3529968,1569,10/8/2018
270.4483032,270.7684937,269.2999878,270.2914124,1426,10/9/2018
264.7000122,269.96521,264.7000122,269.9262085,3081,10/10/2018
257.6390991,260.3772888,256.6867065,258.8526917,2895,10/11/2018
257.6984863,259.5812073,257.6984863,258.967804,2209,10/12/2018
257.8398132,257.8398132,255.5001068,257.1294861,2894,10/15/2018
260.4594116,260.4594116,257.1621094,257.3255005,1156,10/16/2018
261.2950134,263.1059875,260.2900085,263.1059875,1557,10/17/2018
260.4400024,262.9877014,260.4400024,262.4899902,3046,10/18/2018
260.8150024,262.0080872,260.2000122,261.35849,1275,10/19/2018
259.3646851,260.7999878,258.8999939,260.0582886,1130,10/22/2018
254.4199982,256.5700073,253.5133972,255.7200012,2508,10/23/2018
255.3939972,259,255.3939972,255.6867981,949,10/24/2018
255.9281006,255.9281006,251.7100067,252.2102051,3571,10/25/2018
252.4761047,253.1643982,249.3791046,253.1416931,1508,10/26/2018
253.4152069,256.3674927,253.2042999,253.2700043,5170,10/29/2018
252.6524048,253.5505066,250.8204041,252.9900055,4441,10/30/2018
258.750885,259.9599915,256.519989,256.8794861,3504,10/31/2018
258.7550049,259.1300049,257,257.8900146,835,11/1/2018
258.2921143,261.5198975,258.2921143,261.4100037,5167,11/2/2018
258.6326904,259.7998962,258.2000122,258.519989,1427,11/5/2018
259.5845032,260.2105103,258.3299866,259.7182922,1481,11/6/2018
262.3349915,262.4168091,260.7799988,260.7799988,937,11/7/2018
264.5010071,265.0841064,263.8299866,264.519989,1434,11/8/2018
263.4721985,264.5799866,262.7401123,264.5799866,1168,11/9/2018
261.4179993,265.8099976,261.4179993,265.8099976,2656,11/12/2018
262.1164856,262.9807129,260,262.2099915,1986,11/13/2018
258.9500122,261.9190979,258.9500122,259.6907959,1251,11/14/2018
257.8486938,259.0499878,255.7799988,259.0499878,1826,11/15/2018
257.6362915,259.4899902,256.3999939,259.4899902,1424,11/16/2018
255.1676941,259.2633057,255.0220947,259.1011047,2049,11/19/2018
251.5,253.6147003,250.5,253.3943939,1129,11/20/2018
253.8769073,253.9696045,251.8204041,252,1157,11/21/2018
250.9750061,252.7599945,250.8999939,252.7599945,1052,11/22/2018
